iter	Passed	Remaining
807	3812	905
808	3816	901
809	3820	896
810	3825	891
811	3829	886
812	3834	881
813	3838	877
814	3842	872
815	3846	867
816	3851	862
817	3855	857
818	3859	852
819	3863	848
820	3868	843
821	3872	838
822	3876	833
823	3881	829
824	3885	824
825	3889	819
826	3894	814
827	3899	809
828	3903	805
829	3907	800
830	3912	795
831	3916	790
832	3920	785
833	3925	781
834	3929	776
835	3933	771
836	3937	766
837	3942	762
838	3946	757
839	3950	752
840	3955	747
841	3960	743
842	3964	738
843	3969	733
844	3973	728
845	3977	724
846	3982	719
847	3986	714
848	3991	709
849	3995	705
850	4000	700
851	4004	695
852	4009	690
853	4013	686
854	4018	681
855	4022	676
856	4027	671
857	4031	667
858	4035	662
859	4039	657
860	4044	652
861	4048	648
862	4052	643
863	4057	638
864	4061	633
865	4065	629
866	4070	624
867	4074	619
868	4078	614
869	4083	610
870	4087	605
871	4091	600
872	4096	595
873	4100	591
874	4105	586
875	4109	581
876	4113	576
877	4118	572
878	4122	567
879	4127	562
880	4131	558
881	4136	553
882	4140	548
883	4144	543
884	4149	539
885	4153	534
886	4157	529
887	4162	524
888	4166	520
889	4171	515
890	4176	510
891	4181	506
892	4186	501
893	4191	496
894	4195	492
895	4200	487
896	4204	482
897	4209	478
898	4212	473
899	4217	468
900	4221	463
901	4225	459
902	4230	454
903	4234	449
904	4238	444
905	4243	440
906	4248	435
907	4253	430
908	4257	426
909	4261	421
910	4265	416
911	4268	411
912	4272	407
913	4277	402
914	4282	397
915	4287	393
916	4292	388
917	4296	383
918	4301	379
919	4305	374
920	4309	369
921	4313	364
922	4317	360
923	4322	355
924	4325	350
925	4329	346
926	4334	341
927	4338	336
928	4343	331
929	4347	327
930	4352	322
931	4357	317
932	4361	313
933	4365	308
934	4370	303
935	4374	299
936	4379	294
937	4383	289
938	4387	285
939	4392	280
940	4396	275
941	4401	270
942	4405	266
943	4410	261
944	4414	256
945	4418	252
946	4423	247
947	4428	242
948	4432	238
949	4437	233
950	4441	228
951	4445	224
952	4450	219
953	4454	214
954	4459	210
955	4463	205
956	4468	200
957	4473	196
958	4478	191
959	4482	186
960	4487	182
961	4491	177
962	4496	172
963	4501	168
964	4505	163
965	4509	158
966	4513	154
967	4518	149
968	4522	144
969	4526	140
970	4531	135
971	4535	130
972	4539	125
973	4544	121
974	4548	116
975	4553	111
976	4557	107
977	4559	102
978	4564	97
979	4566	93
980	4571	88
981	4575	83
982	4580	79
983	4584	74
984	4590	69
985	4595	65
986	4600	60
987	4606	55
988	4610	51
989	4615	46
990	4621	41
991	4627	37
992	4632	32
993	4636	27
994	4641	23
995	4646	18
996	4650	13
997	4654	9
998	4659	4
999	4663	0
